factor_id,coverage_scope,public_geography_id,bridge_municipality,factor_municipality,factor_value,factor_match,coverage_status
age65,bridge_safe_2025_geography,32003,Diksmuide,Dixmude,23.490165,true,matched_factor_source
age65,bridge_safe_2025_geography,32006,Houthulst,Houthulst,19.605425,true,matched_factor_source
age65,bridge_safe_2025_geography,32010,Koekelare,Koekelare,24.251632,true,matched_factor_source
age65,bridge_safe_2025_geography,32011,Kortemark,Kortemark,23.127484,true,matched_factor_source
age65,bridge_safe_2025_geography,32030,Lo-Reninge,Lo-Reninge,22.052263,true,matched_factor_source
age65,bridge_safe_2025_geography,33011,Ieper,Ypres,25.156474,true,matched_factor_source
age65,bridge_safe_2025_geography,33016,Mesen,Messines,18.258427,true,matched_factor_source
age65,bridge_safe_2025_geography,33021,Poperinge,Poperinge,25.233786,true,matched_factor_source
age65,bridge_safe_2025_geography,33029,Wervik,Wervik,22.434231,true,matched_factor_source
age65,bridge_safe_2025_geography,33037,Zonnebeke,Zonnebeke,21.127972,true,matched_factor_source
age65,bridge_safe_2025_geography,33039,Heuvelland,Heuvelland,23.468754,true,matched_factor_source
age65,bridge_safe_2025_geography,33040,Langemark-Poelkapelle,Langemark-Poelkapelle,20.925163,true,matched_factor_source
age65,bridge_safe_2025_geography,33041,Vleteren,Vleteren,21.502374,true,matched_factor_source
age65,bridge_safe_2025_geography,34002,Anzegem,Anzegem,21.851707,true,matched_factor_source
age65,bridge_safe_2025_geography,34003,Avelgem,Avelgem,22.904278,true,matched_factor_source
age65,bridge_safe_2025_geography,34009,Deerlijk,Deerlijk,20.892591,true,matched_factor_source
age65,bridge_safe_2025_geography,34013,Harelbeke,Harelbeke,22.198987,true,matched_factor_source
age65,bridge_safe_2025_geography,34022,Kortrijk,Courtrai,21.795076,true,matched_factor_source
age65,bridge_safe_2025_geography,34023,Kuurne,Kuurne,22.274252,true,matched_factor_source
age65,bridge_safe_2025_geography,34025,Lendelede,Lendelede,25.277162,true,matched_factor_source
age65,bridge_safe_2025_geography,34027,Menen,Menin,21.688799,true,matched_factor_source
age65,bridge_safe_2025_geography,34040,Waregem,Waregem,23.531433,true,matched_factor_source
age65,bridge_safe_2025_geography,34041,Wevelgem,Wevelgem,23.241609,true,matched_factor_source
age65,bridge_safe_2025_geography,34042,Zwevegem,Zwevegem,22.081813,true,matched_factor_source
age65,bridge_safe_2025_geography,34043,Spiere-Helkijn,Espierres-Helchin,18.820088,true,matched_factor_source
age65,bridge_safe_2025_geography,35002,Bredene,Bredene,28.73124,true,matched_factor_source
