country_id,factor_id,year,reference_period,geography_version,public_geography_type,public_geography_id,municipality,refnis_label_french,refnis_label_dutch,refnis_label_german,population,area_km2,value,unit,source_name,provenance_ref,comparability_status
belgium,population_density,2025,2025-01-01,statbel-refnis-2025,municipality,21006,Evere,Evere,Evere,Evere,45892,5.12483,8954.8336,people-per-km2,Statbel Densite de la population en Belgique au 1er janvier,provenance/belgium_population_density_manifest.json,country_local
belgium,population_density,2025,2025-01-01,statbel-refnis-2025,municipality,21007,Forest,Forest (Bruxelles-Capitale),Vorst (Brussel-Hoofdstad),Forest (Brüssel-Hauptstadt),58675,6.292049,9325.2611,people-per-km2,Statbel Densite de la population en Belgique au 1er janvier,provenance/belgium_population_density_manifest.json,country_local
belgium,population_density,2025,2025-01-01,statbel-refnis-2025,municipality,21008,Ganshoren,Ganshoren,Ganshoren,Ganshoren,25693,2.437669,10539.9872,people-per-km2,Statbel Densite de la population en Belgique au 1er janvier,provenance/belgium_population_density_manifest.json,country_local
belgium,population_density,2025,2025-01-01,statbel-refnis-2025,municipality,21009,Ixelles,Ixelles,Elsene,Ixelles,89897,6.411134,14022.0123,people-per-km2,Statbel Densite de la population en Belgique au 1er janvier,provenance/belgium_population_density_manifest.json,country_local
belgium,population_density,2025,2025-01-01,statbel-refnis-2025,municipality,21010,Jette,Jette,Jette,Jette,54390,5.189399,10480.9825,people-per-km2,Statbel Densite de la population en Belgique au 1er janvier,provenance/belgium_population_density_manifest.json,country_local
belgium,population_density,2025,2025-01-01,statbel-refnis-2025,municipality,21011,Koekelberg,Koekelberg,Koekelberg,Koekelberg,22979,1.181925,19442.012,people-per-km2,Statbel Densite de la population en Belgique au 1er janvier,provenance/belgium_population_density_manifest.json,country_local
belgium,population_density,2025,2025-01-01,statbel-refnis-2025,municipality,21012,Molenbeek-Saint-Jean,Molenbeek-Saint-Jean,Sint-Jans-Molenbeek,Molenbeek-Saint-Jean,98713,6.015609,16409.4774,people-per-km2,Statbel Densite de la population en Belgique au 1er janvier,provenance/belgium_population_density_manifest.json,country_local
belgium,population_density,2025,2025-01-01,statbel-refnis-2025,municipality,21013,Saint-Gilles,Saint-Gilles,Sint-Gillis,Saint-Gilles,48827,2.533796,19270.2964,people-per-km2,Statbel Densite de la population en Belgique au 1er janvier,provenance/belgium_population_density_manifest.json,country_local
belgium,population_density,2025,2025-01-01,statbel-refnis-2025,municipality,21014,Saint-Josse-ten-Noode,Saint-Josse-ten-Noode,Sint-Joost-ten-Node,Saint-Josse-ten-Noode,27258,1.160608,23485.966,people-per-km2,Statbel Densite de la population en Belgique au 1er janvier,provenance/belgium_population_density_manifest.json,country_local
belgium,population_density,2025,2025-01-01,statbel-refnis-2025,municipality,21015,Schaerbeek,Schaerbeek,Schaarbeek,Schaerbeek,129775,7.901317,16424.4771,people-per-km2,Statbel Densite de la population en Belgique au 1er janvier,provenance/belgium_population_density_manifest.json,country_local
belgium,population_density,2025,2025-01-01,statbel-refnis-2025,municipality,21016,Uccle,Uccle,Ukkel,Uccle,87194,22.874935,3811.7704,people-per-km2,Statbel Densite de la population en Belgique au 1er janvier,provenance/belgium_population_density_manifest.json,country_local
belgium,population_density,2025,2025-01-01,statbel-refnis-2025,municipality,21017,Watermael-Boitsfort,Watermael-Boitsfort,Watermaal-Bosvoorde,Watermael-Boitsfort,25327,12.96812,1953.0202,people-per-km2,Statbel Densite de la population en Belgique au 1er janvier,provenance/belgium_population_density_manifest.json,country_local
belgium,population_density,2025,2025-01-01,statbel-refnis-2025,municipality,21018,Woluwe-Saint-Lambert,Woluwe-Saint-Lambert,Sint-Lambrechts-Woluwe,Woluwe-Saint-Lambert,60956,7.29359,8357.4755,people-per-km2,Statbel Densite de la population en Belgique au 1er janvier,provenance/belgium_population_density_manifest.json,country_local
belgium,population_density,2025,2025-01-01,statbel-refnis-2025,municipality,21019,Woluwe-Saint-Pierre,Woluwe-Saint-Pierre,Sint-Pieters-Woluwe,Woluwe-Saint-Pierre,42549,8.944297,4757.1095,people-per-km2,Statbel Densite de la population en Belgique au 1er janvier,provenance/belgium_population_density_manifest.json,country_local
belgium,population_density,2025,2025-01-01,statbel-refnis-2025,municipality,23002,Asse,Asse,Asse,Asse,35882,50.221318,714.4775,people-per-km2,Statbel Densite de la population en Belgique au 1er janvier,provenance/belgium_population_density_manifest.json,country_local
belgium,population_density,2025,2025-01-01,statbel-refnis-2025,municipality,23003,Beersel,Beersel,Beersel,Beersel,26593,30.401594,874.7239,people-per-km2,Statbel Densite de la population en Belgique au 1er janvier,provenance/belgium_population_density_manifest.json,country_local
belgium,population_density,2025,2025-01-01,statbel-refnis-2025,municipality,23009,Biévène,Biévène,Bever,Bever,2266,19.235905,117.8005,people-per-km2,Statbel Densite de la population en Belgique au 1er janvier,provenance/belgium_population_density_manifest.json,country_local
belgium,population_density,2025,2025-01-01,statbel-refnis-2025,municipality,23016,Dilbeek,Dilbeek,Dilbeek,Dilbeek,45069,41.477916,1086.5782,people-per-km2,Statbel Densite de la population en Belgique au 1er janvier,provenance/belgium_population_density_manifest.json,country_local
belgium,population_density,2025,2025-01-01,statbel-refnis-2025,municipality,23025,Grimbergen,Grimbergen,Grimbergen,Grimbergen,40062,38.669883,1036.0,people-per-km2,Statbel Densite de la population en Belgique au 1er janvier,provenance/belgium_population_density_manifest.json,country_local
belgium,population_density,2025,2025-01-01,statbel-refnis-2025,municipality,23027,Hal,Hal (Hal-Vilvorde),Halle (Halle-Vilvoorde),Halle (Halle-Vilvoorde),42884,44.982429,953.35,people-per-km2,Statbel Densite de la population en Belgique au 1er janvier,provenance/belgium_population_density_manifest.json,country_local
belgium,population_density,2025,2025-01-01,statbel-refnis-2025,municipality,23033,Hoeilaart,Hoeilaart,Hoeilaart,Hoeilaart,11565,20.534474,563.1992,people-per-km2,Statbel Densite de la population en Belgique au 1er janvier,provenance/belgium_population_density_manifest.json,country_local
belgium,population_density,2025,2025-01-01,statbel-refnis-2025,municipality,23038,Kampenhout,Kampenhout,Kampenhout,Kampenhout,12606,33.647651,374.6473,people-per-km2,Statbel Densite de la population en Belgique au 1er janvier,provenance/belgium_population_density_manifest.json,country_local
belgium,population_density,2025,2025-01-01,statbel-refnis-2025,municipality,23039,Kapelle-op-den-Bos,Kapelle-op-den-Bos,Kapelle-op-den-Bos,Kapelle-op-den-Bos,9806,15.36725,638.1103,people-per-km2,Statbel Densite de la population en Belgique au 1er janvier,provenance/belgium_population_density_manifest.json,country_local
belgium,population_density,2025,2025-01-01,statbel-refnis-2025,municipality,23044,Liedekerke,Liedekerke,Liedekerke,Liedekerke,14155,10.17463,1391.2054,people-per-km2,Statbel Densite de la population en Belgique au 1er janvier,provenance/belgium_population_density_manifest.json,country_local
belgium,population_density,2025,2025-01-01,statbel-refnis-2025,municipality,23045,Londerzeel,Londerzeel,Londerzeel,Londerzeel,19491,36.527235,533.6018,people-per-km2,Statbel Densite de la population en Belgique au 1er janvier,provenance/belgium_population_density_manifest.json,country_local
belgium,population_density,2025,2025-01-01,statbel-refnis-2025,municipality,23047,Machelen,Machelen (Hal-Vilvorde),Machelen (Halle-Vilvoorde),Machelen (Halle-Vilvoorde),16784,11.501017,1459.3492,people-per-km2,Statbel Densite de la population en Belgique au 1er janvier,provenance/belgium_population_density_manifest.json,country_local
belgium,population_density,2025,2025-01-01,statbel-refnis-2025,municipality,23050,Meise,Meise,Meise,Meise,20392,35.065143,581.5462,people-per-km2,Statbel Densite de la population en Belgique au 1er janvier,provenance/belgium_population_density_manifest.json,country_local
