factor_id,coverage_scope,public_geography_id,bridge_municipality,factor_municipality,factor_value,factor_match,coverage_status
population_density,bridge_safe_2025_geography,24007,Begijnendijk,Begijnendijk,602.7708,true,matched_factor_source
population_density,bridge_safe_2025_geography,24008,Bekkevoort,Bekkevoort,185.6724,true,matched_factor_source
population_density,bridge_safe_2025_geography,24009,Bertem,Bertem,344.8414,true,matched_factor_source
population_density,bridge_safe_2025_geography,24011,Bierbeek,Bierbeek,276.6094,true,matched_factor_source
population_density,bridge_safe_2025_geography,24014,Boortmeerbeek,Boortmeerbeek,713.8242,true,matched_factor_source
population_density,bridge_safe_2025_geography,24016,Boutersem,Boutersem,279.6685,true,matched_factor_source
population_density,bridge_safe_2025_geography,24020,Diest,Diest,428.1671,true,matched_factor_source
population_density,bridge_safe_2025_geography,24028,Geetbets,Geetbets,178.5589,true,matched_factor_source
population_density,bridge_safe_2025_geography,24033,Haacht,Haacht,509.8411,true,matched_factor_source
population_density,bridge_safe_2025_geography,24038,Herent,Herent,705.0741,true,matched_factor_source
population_density,bridge_safe_2025_geography,24041,Hoegaarden,Hoegaarden,204.0266,true,matched_factor_source
population_density,bridge_safe_2025_geography,24043,Holsbeek,Holsbeek,263.915,true,matched_factor_source
population_density,bridge_safe_2025_geography,24045,Huldenberg,Huldenberg,252.1183,true,matched_factor_source
population_density,bridge_safe_2025_geography,24048,Keerbergen,Keerbergen,720.2334,true,matched_factor_source
population_density,bridge_safe_2025_geography,24054,Kortenaken,Kortenaken,161.4958,true,matched_factor_source
population_density,bridge_safe_2025_geography,24055,Kortenberg,Kortenberg,616.269,true,matched_factor_source
population_density,bridge_safe_2025_geography,24059,Landen,Landen,307.2154,true,matched_factor_source
population_density,bridge_safe_2025_geography,24062,Leuven,Louvain,1824.1903,true,matched_factor_source
population_density,bridge_safe_2025_geography,24066,Lubbeek,Lubbeek,336.4819,true,matched_factor_source
population_density,bridge_safe_2025_geography,24086,Oud-Heverlee,Oud-Heverlee,365.7845,true,matched_factor_source
population_density,bridge_safe_2025_geography,24094,Rotselaar,Rotselaar,475.2196,true,matched_factor_source
population_density,bridge_safe_2025_geography,24104,Tervuren,Tervuren,691.4453,true,matched_factor_source
population_density,bridge_safe_2025_geography,24107,Tienen,Tirlemont,506.932,true,matched_factor_source
population_density,bridge_safe_2025_geography,24109,Tremelo,Tremelo,704.3187,true,matched_factor_source
population_density,bridge_safe_2025_geography,24130,Zoutleeuw,Léau,187.1272,true,matched_factor_source
population_density,bridge_safe_2025_geography,24133,Linter,Linter,199.4524,true,matched_factor_source
population_density,bridge_safe_2025_geography,24134,Scherpenheuvel-Zichem,Montaigu-Zichem,473.1411,true,matched_factor_source
population_density,bridge_safe_2025_geography,24135,Tielt-Winge,Tielt-Winge,259.8218,true,matched_factor_source
population_density,bridge_safe_2025_geography,24137,Glabbeek,Glabbeek,201.8812,true,matched_factor_source
population_density,bridge_safe_2025_geography,25005,Beauvechain,Beauvechain,187.7667,true,matched_factor_source
population_density,bridge_safe_2025_geography,25014,Braine-l'Alleud,Braine-l’Alleud,778.9566,true,matched_factor_source
population_density,bridge_safe_2025_geography,25015,Braine-le-Chateau,Braine-le-Château,467.6213,true,matched_factor_source
population_density,bridge_safe_2025_geography,25018,Chaumont-Gistoux,Chaumont-Gistoux,246.1225,true,matched_factor_source
population_density,bridge_safe_2025_geography,25023,Court-Saint-Etienne,Court-Saint-Etienne,406.5795,true,matched_factor_source
