country_id,factor_id,year,reference_period,geography_version,public_geography_type,public_geography_id,municipality,refnis_label_french,refnis_label_dutch,refnis_label_german,population,age65_population,value,unit,source_name,provenance_ref,comparability_status
belgium,age65,2026,2026-01-01,statbel-refnis-2026-source,municipality,13008,Geel,Geel,Geel,Geel,42650,9459,22.178195,percent,Statbel TF_SOC_POP_STRUCT_2026 social population structure,provenance/belgium_age65_manifest.json,family_mapped
belgium,age65,2026,2026-01-01,statbel-refnis-2026-source,municipality,13010,Grobbendonk,Grobbendonk,Grobbendonk,Grobbendonk,11608,2944,25.361819,percent,Statbel TF_SOC_POP_STRUCT_2026 social population structure,provenance/belgium_age65_manifest.json,family_mapped
belgium,age65,2026,2026-01-01,statbel-refnis-2026-source,municipality,13011,Herentals,Herentals,Herentals,Herentals,29163,7151,24.520797,percent,Statbel TF_SOC_POP_STRUCT_2026 social population structure,provenance/belgium_age65_manifest.json,family_mapped
belgium,age65,2026,2026-01-01,statbel-refnis-2026-source,municipality,13012,Herenthout,Herenthout,Herenthout,Herenthout,9464,2391,25.264159,percent,Statbel TF_SOC_POP_STRUCT_2026 social population structure,provenance/belgium_age65_manifest.json,family_mapped
belgium,age65,2026,2026-01-01,statbel-refnis-2026-source,municipality,13013,Herselt,Herselt,Herselt,Herselt,14777,3832,25.932192,percent,Statbel TF_SOC_POP_STRUCT_2026 social population structure,provenance/belgium_age65_manifest.json,family_mapped
belgium,age65,2026,2026-01-01,statbel-refnis-2026-source,municipality,13014,Hoogstraten,Hoogstraten,Hoogstraten,Hoogstraten,22525,4944,21.948946,percent,Statbel TF_SOC_POP_STRUCT_2026 social population structure,provenance/belgium_age65_manifest.json,family_mapped
belgium,age65,2026,2026-01-01,statbel-refnis-2026-source,municipality,13016,Hulshout,Hulshout,Hulshout,Hulshout,10652,2444,22.944048,percent,Statbel TF_SOC_POP_STRUCT_2026 social population structure,provenance/belgium_age65_manifest.json,family_mapped
belgium,age65,2026,2026-01-01,statbel-refnis-2026-source,municipality,13017,Kasterlee,Kasterlee,Kasterlee,Kasterlee,19835,4883,24.618099,percent,Statbel TF_SOC_POP_STRUCT_2026 social population structure,provenance/belgium_age65_manifest.json,family_mapped
belgium,age65,2026,2026-01-01,statbel-refnis-2026-source,municipality,13019,Lille,Lille,Lille,Lille,17175,4022,23.417758,percent,Statbel TF_SOC_POP_STRUCT_2026 social population structure,provenance/belgium_age65_manifest.json,family_mapped
belgium,age65,2026,2026-01-01,statbel-refnis-2026-source,municipality,13021,Meerhout,Meerhout,Meerhout,Meerhout,10365,2495,24.071394,percent,Statbel TF_SOC_POP_STRUCT_2026 social population structure,provenance/belgium_age65_manifest.json,family_mapped
belgium,age65,2026,2026-01-01,statbel-refnis-2026-source,municipality,13023,Merksplas,Merksplas,Merksplas,Merksplas,8974,2070,23.066637,percent,Statbel TF_SOC_POP_STRUCT_2026 social population structure,provenance/belgium_age65_manifest.json,family_mapped
belgium,age65,2026,2026-01-01,statbel-refnis-2026-source,municipality,13025,Mol,Mol,Mol,Mol,38793,8907,22.960328,percent,Statbel TF_SOC_POP_STRUCT_2026 social population structure,provenance/belgium_age65_manifest.json,family_mapped
belgium,age65,2026,2026-01-01,statbel-refnis-2026-source,municipality,13029,Olen,Olen,Olen,Olen,12945,2921,22.564697,percent,Statbel TF_SOC_POP_STRUCT_2026 social population structure,provenance/belgium_age65_manifest.json,family_mapped
belgium,age65,2026,2026-01-01,statbel-refnis-2026-source,municipality,13031,Oud-Turnhout,Oud-Turnhout,Oud-Turnhout,Oud-Turnhout,15211,3796,24.955624,percent,Statbel TF_SOC_POP_STRUCT_2026 social population structure,provenance/belgium_age65_manifest.json,family_mapped
belgium,age65,2026,2026-01-01,statbel-refnis-2026-source,municipality,13035,Ravels,Ravels,Ravels,Ravels,15953,3526,22.102426,percent,Statbel TF_SOC_POP_STRUCT_2026 social population structure,provenance/belgium_age65_manifest.json,family_mapped
belgium,age65,2026,2026-01-01,statbel-refnis-2026-source,municipality,13036,Retie,Retie,Retie,Retie,12076,2753,22.797284,percent,Statbel TF_SOC_POP_STRUCT_2026 social population structure,provenance/belgium_age65_manifest.json,family_mapped
belgium,age65,2026,2026-01-01,statbel-refnis-2026-source,municipality,13037,Rijkevorsel,Rijkevorsel,Rijkevorsel,Rijkevorsel,12552,2557,20.371256,percent,Statbel TF_SOC_POP_STRUCT_2026 social population structure,provenance/belgium_age65_manifest.json,family_mapped
belgium,age65,2026,2026-01-01,statbel-refnis-2026-source,municipality,13040,Turnhout,Turnhout,Turnhout,Turnhout,48490,9873,20.360899,percent,Statbel TF_SOC_POP_STRUCT_2026 social population structure,provenance/belgium_age65_manifest.json,family_mapped
belgium,age65,2026,2026-01-01,statbel-refnis-2026-source,municipality,13044,Vorselaar,Vorselaar,Vorselaar,Vorselaar,8056,1977,24.540715,percent,Statbel TF_SOC_POP_STRUCT_2026 social population structure,provenance/belgium_age65_manifest.json,family_mapped
belgium,age65,2026,2026-01-01,statbel-refnis-2026-source,municipality,13046,Vosselaar,Vosselaar,Vosselaar,Vosselaar,11933,2601,21.796698,percent,Statbel TF_SOC_POP_STRUCT_2026 social population structure,provenance/belgium_age65_manifest.json,family_mapped
belgium,age65,2026,2026-01-01,statbel-refnis-2026-source,municipality,13049,Westerlo,Westerlo,Westerlo,Westerlo,25723,6370,24.76383,percent,Statbel TF_SOC_POP_STRUCT_2026 social population structure,provenance/belgium_age65_manifest.json,family_mapped
belgium,age65,2026,2026-01-01,statbel-refnis-2026-source,municipality,13053,Laakdal,Laakdal,Laakdal,Laakdal,17032,4016,23.579145,percent,Statbel TF_SOC_POP_STRUCT_2026 social population structure,provenance/belgium_age65_manifest.json,family_mapped
belgium,age65,2026,2026-01-01,statbel-refnis-2026-source,municipality,21001,Anderlecht,Anderlecht,Anderlecht,Anderlecht,129600,15889,12.260031,percent,Statbel TF_SOC_POP_STRUCT_2026 social population structure,provenance/belgium_age65_manifest.json,family_mapped
belgium,age65,2026,2026-01-01,statbel-refnis-2026-source,municipality,21002,Auderghem,Auderghem,Oudergem,Auderghem,35659,5975,16.755938,percent,Statbel TF_SOC_POP_STRUCT_2026 social population structure,provenance/belgium_age65_manifest.json,family_mapped
belgium,age65,2026,2026-01-01,statbel-refnis-2026-source,municipality,21003,Berchem-Sainte-Agathe,Berchem-Sainte-Agathe,Sint-Agatha-Berchem,Berchem-Sainte-Agathe,25762,4141,16.074063,percent,Statbel TF_SOC_POP_STRUCT_2026 social population structure,provenance/belgium_age65_manifest.json,family_mapped
belgium,age65,2026,2026-01-01,statbel-refnis-2026-source,municipality,21004,Bruxelles,Bruxelles,Brussel,Brüssel,198674,22647,11.399076,percent,Statbel TF_SOC_POP_STRUCT_2026 social population structure,provenance/belgium_age65_manifest.json,family_mapped
belgium,age65,2026,2026-01-01,statbel-refnis-2026-source,municipality,21005,Etterbeek,Etterbeek,Etterbeek,Etterbeek,49638,5569,11.219227,percent,Statbel TF_SOC_POP_STRUCT_2026 social population structure,provenance/belgium_age65_manifest.json,family_mapped
belgium,age65,2026,2026-01-01,statbel-refnis-2026-source,municipality,21006,Evere,Evere,Evere,Evere,45984,6807,14.802975,percent,Statbel TF_SOC_POP_STRUCT_2026 social population structure,provenance/belgium_age65_manifest.json,family_mapped
belgium,age65,2026,2026-01-01,statbel-refnis-2026-source,municipality,21007,Forest,Forest (Bruxelles-Capitale),Vorst (Brussel-Hoofdstad),Forest (Brüssel-Hauptstadt),58904,7679,13.036466,percent,Statbel TF_SOC_POP_STRUCT_2026 social population structure,provenance/belgium_age65_manifest.json,family_mapped
belgium,age65,2026,2026-01-01,statbel-refnis-2026-source,municipality,21008,Ganshoren,Ganshoren,Ganshoren,Ganshoren,25731,4190,16.28386,percent,Statbel TF_SOC_POP_STRUCT_2026 social population structure,provenance/belgium_age65_manifest.json,family_mapped
belgium,age65,2026,2026-01-01,statbel-refnis-2026-source,municipality,21009,Ixelles,Ixelles,Elsene,Ixelles,89162,10332,11.587896,percent,Statbel TF_SOC_POP_STRUCT_2026 social population structure,provenance/belgium_age65_manifest.json,family_mapped
belgium,age65,2026,2026-01-01,statbel-refnis-2026-source,municipality,21010,Jette,Jette,Jette,Jette,54330,8045,14.807657,percent,Statbel TF_SOC_POP_STRUCT_2026 social population structure,provenance/belgium_age65_manifest.json,family_mapped
belgium,age65,2026,2026-01-01,statbel-refnis-2026-source,municipality,21011,Koekelberg,Koekelberg,Koekelberg,Koekelberg,22578,2534,11.223315,percent,Statbel TF_SOC_POP_STRUCT_2026 social population structure,provenance/belgium_age65_manifest.json,family_mapped
belgium,age65,2026,2026-01-01,statbel-refnis-2026-source,municipality,21012,Molenbeek-Saint-Jean,Molenbeek-Saint-Jean,Sint-Jans-Molenbeek,Molenbeek-Saint-Jean,98411,11763,11.952932,percent,Statbel TF_SOC_POP_STRUCT_2026 social population structure,provenance/belgium_age65_manifest.json,family_mapped
belgium,age65,2026,2026-01-01,statbel-refnis-2026-source,municipality,21013,Saint-Gilles,Saint-Gilles,Sint-Gillis,Saint-Gilles,48756,5136,10.534088,percent,Statbel TF_SOC_POP_STRUCT_2026 social population structure,provenance/belgium_age65_manifest.json,family_mapped
belgium,age65,2026,2026-01-01,statbel-refnis-2026-source,municipality,21014,Saint-Josse-ten-Noode,Saint-Josse-ten-Noode,Sint-Joost-ten-Node,Saint-Josse-ten-Noode,27003,2598,9.621153,percent,Statbel TF_SOC_POP_STRUCT_2026 social population structure,provenance/belgium_age65_manifest.json,family_mapped
belgium,age65,2026,2026-01-01,statbel-refnis-2026-source,municipality,21015,Schaerbeek,Schaerbeek,Schaarbeek,Schaerbeek,129278,13912,10.761305,percent,Statbel TF_SOC_POP_STRUCT_2026 social population structure,provenance/belgium_age65_manifest.json,family_mapped
belgium,age65,2026,2026-01-01,statbel-refnis-2026-source,municipality,21016,Uccle,Uccle,Ukkel,Uccle,87548,16592,18.951889,percent,Statbel TF_SOC_POP_STRUCT_2026 social population structure,provenance/belgium_age65_manifest.json,family_mapped
belgium,age65,2026,2026-01-01,statbel-refnis-2026-source,municipality,21017,Watermael-Boitsfort,Watermael-Boitsfort,Watermaal-Bosvoorde,Watermael-Boitsfort,25271,5356,21.194254,percent,Statbel TF_SOC_POP_STRUCT_2026 social population structure,provenance/belgium_age65_manifest.json,family_mapped
belgium,age65,2026,2026-01-01,statbel-refnis-2026-source,municipality,21018,Woluwe-Saint-Lambert,Woluwe-Saint-Lambert,Sint-Lambrechts-Woluwe,Woluwe-Saint-Lambert,60979,10243,16.797586,percent,Statbel TF_SOC_POP_STRUCT_2026 social population structure,provenance/belgium_age65_manifest.json,family_mapped
belgium,age65,2026,2026-01-01,statbel-refnis-2026-source,municipality,21019,Woluwe-Saint-Pierre,Woluwe-Saint-Pierre,Sint-Pieters-Woluwe,Woluwe-Saint-Pierre,42566,8322,19.550815,percent,Statbel TF_SOC_POP_STRUCT_2026 social population structure,provenance/belgium_age65_manifest.json,family_mapped
belgium,age65,2026,2026-01-01,statbel-refnis-2026-source,municipality,23002,Asse,Asse,Asse,Asse,36018,6691,18.576823,percent,Statbel TF_SOC_POP_STRUCT_2026 social population structure,provenance/belgium_age65_manifest.json,family_mapped
belgium,age65,2026,2026-01-01,statbel-refnis-2026-source,municipality,23003,Beersel,Beersel,Beersel,Beersel,26800,5134,19.156716,percent,Statbel TF_SOC_POP_STRUCT_2026 social population structure,provenance/belgium_age65_manifest.json,family_mapped
belgium,age65,2026,2026-01-01,statbel-refnis-2026-source,municipality,23009,Biévène,Biévène,Bever,Bever,2279,451,19.789381,percent,Statbel TF_SOC_POP_STRUCT_2026 social population structure,provenance/belgium_age65_manifest.json,family_mapped
belgium,age65,2026,2026-01-01,statbel-refnis-2026-source,municipality,23016,Dilbeek,Dilbeek,Dilbeek,Dilbeek,45111,9515,21.092416,percent,Statbel TF_SOC_POP_STRUCT_2026 social population structure,provenance/belgium_age65_manifest.json,family_mapped
belgium,age65,2026,2026-01-01,statbel-refnis-2026-source,municipality,23025,Grimbergen,Grimbergen,Grimbergen,Grimbergen,40491,7835,19.349979,percent,Statbel TF_SOC_POP_STRUCT_2026 social population structure,provenance/belgium_age65_manifest.json,family_mapped
