election_year,election_date,public_geography_id,ibz_municipality,ibz_label_french,ibz_label_dutch,ibz_label_german,refnis_match,refnis_code,refnis_parent_code,refnis_label_french,refnis_label_dutch,refnis_label_german,refnis_validity_start,refnis_validity_end,special_bucket,vote_sum_reconciles,bridge_safe_for_first_app_layer,reconciliation_status,method_note
2024,2024-06-09,13029,Olen,Olen,Olen,Olen,true,13029,13000,Olen,Olen,Olen,01/01/1970,31/12/9999,false,true,true,matched_refnis_2024,IBZ municipality code matches active Statbel REFNIS municipality on election date.
2024,2024-06-09,13031,Oud-Turnhout,Oud-Turnhout,Oud-Turnhout,Oud-Turnhout,true,13031,13000,Oud-Turnhout,Oud-Turnhout,Oud-Turnhout,01/01/1970,31/12/9999,false,true,true,matched_refnis_2024,IBZ municipality code matches active Statbel REFNIS municipality on election date.
2024,2024-06-09,13035,Ravels,Ravels,Ravels,Ravels,true,13035,13000,Ravels,Ravels,Ravels,01/01/1970,31/12/9999,false,true,true,matched_refnis_2024,IBZ municipality code matches active Statbel REFNIS municipality on election date.
2024,2024-06-09,13036,Retie,Retie,Retie,Retie,true,13036,13000,Retie,Retie,Retie,01/01/1970,31/12/9999,false,true,true,matched_refnis_2024,IBZ municipality code matches active Statbel REFNIS municipality on election date.
2024,2024-06-09,13037,Rijkevorsel,Rijkevorsel,Rijkevorsel,Rijkevorsel,true,13037,13000,Rijkevorsel,Rijkevorsel,Rijkevorsel,01/01/1970,31/12/9999,false,true,true,matched_refnis_2024,IBZ municipality code matches active Statbel REFNIS municipality on election date.
2024,2024-06-09,13040,Turnhout,Turnhout,Turnhout,Turnhout,true,13040,13000,Turnhout,Turnhout,Turnhout,01/01/1970,31/12/9999,false,true,true,matched_refnis_2024,IBZ municipality code matches active Statbel REFNIS municipality on election date.
2024,2024-06-09,13044,Vorselaar,Vorselaar,Vorselaar,Vorselaar,true,13044,13000,Vorselaar,Vorselaar,Vorselaar,01/01/1970,31/12/9999,false,true,true,matched_refnis_2024,IBZ municipality code matches active Statbel REFNIS municipality on election date.
2024,2024-06-09,13046,Vosselaar,Vosselaar,Vosselaar,Vosselaar,true,13046,13000,Vosselaar,Vosselaar,Vosselaar,01/01/1970,31/12/9999,false,true,true,matched_refnis_2024,IBZ municipality code matches active Statbel REFNIS municipality on election date.
2024,2024-06-09,13049,Westerlo,Westerlo,Westerlo,Westerlo,true,13049,13000,Westerlo,Westerlo,Westerlo,01/01/1970,31/12/9999,false,true,true,matched_refnis_2024,IBZ municipality code matches active Statbel REFNIS municipality on election date.
2024,2024-06-09,13053,Laakdal,Laakdal,Laakdal,Laakdal,true,13053,13000,Laakdal,Laakdal,Laakdal,01/01/1977,31/12/9999,false,true,true,matched_refnis_2024,IBZ municipality code matches active Statbel REFNIS municipality on election date.
