election_year,election_date,public_geography_id,municipality,label_french,label_dutch,label_german,party,party_id,list_number,language_group,votes,valid_votes,blank_votes,share,vote_sum_reconciles,special_bucket,bridge_safe,source_scope
2024,2024-06-09,11029,Mortsel,Mortsel,Mortsel,Mortsel,VLAAMS BELANG,305802,1,Dutch,2103,16827,431,12.4978,true,false,true,ibz_municipality_level
2024,2024-06-09,11029,Mortsel,Mortsel,Mortsel,Mortsel,open vld,305803,3,Dutch,1052,16827,431,6.2519,true,false,true,ibz_municipality_level
2024,2024-06-09,11029,Mortsel,Mortsel,Mortsel,Mortsel,Volt Europa,305966,5,Dutch,60,16827,431,0.3566,true,false,true,ibz_municipality_level
2024,2024-06-09,11029,Mortsel,Mortsel,Mortsel,Mortsel,PVDA,303048,8,Dutch,1624,16827,431,9.6512,true,false,true,ibz_municipality_level
2024,2024-06-09,11029,Mortsel,Mortsel,Mortsel,Mortsel,Vooruit,305967,9,Dutch,2062,16827,431,12.2541,true,false,true,ibz_municipality_level
2024,2024-06-09,11029,Mortsel,Mortsel,Mortsel,Mortsel,N-VA,303352,10,Dutch,5302,16827,431,31.5089,true,false,true,ibz_municipality_level
2024,2024-06-09,11029,Mortsel,Mortsel,Mortsel,Mortsel,GROEN,303164,15,Dutch,2841,16827,431,16.8836,true,false,true,ibz_municipality_level
2024,2024-06-09,11029,Mortsel,Mortsel,Mortsel,Mortsel,CD&V,303356,16,Dutch,1410,16827,431,8.3794,true,false,true,ibz_municipality_level
2024,2024-06-09,11029,Mortsel,Mortsel,Mortsel,Mortsel,Voor U,305968,17,Dutch,106,16827,431,0.6299,true,false,true,ibz_municipality_level
2024,2024-06-09,11029,Mortsel,Mortsel,Mortsel,Mortsel,DierAnimal,305916,19,Dutch,150,16827,431,0.8914,true,false,true,ibz_municipality_level
2024,2024-06-09,11029,Mortsel,Mortsel,Mortsel,Mortsel,Partij BLANCO,305969,20,Dutch,98,16827,431,0.5824,true,false,true,ibz_municipality_level
2024,2024-06-09,11029,Mortsel,Mortsel,Mortsel,Mortsel,BELG.UNIE-BUB,303439,21,Dutch,19,16827,431,0.1129,true,false,true,ibz_municipality_level
2024,2024-06-09,11030,Niel,Niel,Niel,Niel,VLAAMS BELANG,305802,1,Dutch,2045,6954,305,29.4075,true,false,true,ibz_municipality_level
2024,2024-06-09,11030,Niel,Niel,Niel,Niel,open vld,305803,3,Dutch,390,6954,305,5.6083,true,false,true,ibz_municipality_level
2024,2024-06-09,11030,Niel,Niel,Niel,Niel,Volt Europa,305966,5,Dutch,21,6954,305,0.302,true,false,true,ibz_municipality_level
2024,2024-06-09,11030,Niel,Niel,Niel,Niel,PVDA,303048,8,Dutch,713,6954,305,10.2531,true,false,true,ibz_municipality_level
2024,2024-06-09,11030,Niel,Niel,Niel,Niel,Vooruit,305967,9,Dutch,973,6954,305,13.9919,true,false,true,ibz_municipality_level
2024,2024-06-09,11030,Niel,Niel,Niel,Niel,N-VA,303352,10,Dutch,1865,6954,305,26.8191,true,false,true,ibz_municipality_level
2024,2024-06-09,11030,Niel,Niel,Niel,Niel,GROEN,303164,15,Dutch,354,6954,305,5.0906,true,false,true,ibz_municipality_level
2024,2024-06-09,11030,Niel,Niel,Niel,Niel,CD&V,303356,16,Dutch,434,6954,305,6.241,true,false,true,ibz_municipality_level
2024,2024-06-09,11030,Niel,Niel,Niel,Niel,Voor U,305968,17,Dutch,46,6954,305,0.6615,true,false,true,ibz_municipality_level
2024,2024-06-09,11030,Niel,Niel,Niel,Niel,DierAnimal,305916,19,Dutch,58,6954,305,0.8341,true,false,true,ibz_municipality_level
2024,2024-06-09,11030,Niel,Niel,Niel,Niel,Partij BLANCO,305969,20,Dutch,49,6954,305,0.7046,true,false,true,ibz_municipality_level
2024,2024-06-09,11030,Niel,Niel,Niel,Niel,BELG.UNIE-BUB,303439,21,Dutch,6,6954,305,0.0863,true,false,true,ibz_municipality_level
2024,2024-06-09,11035,Ranst,Ranst,Ranst,Ranst,VLAAMS BELANG,305802,1,Dutch,3035,13707,373,22.142,true,false,true,ibz_municipality_level
2024,2024-06-09,11035,Ranst,Ranst,Ranst,Ranst,open vld,305803,3,Dutch,841,13707,373,6.1356,true,false,true,ibz_municipality_level
2024,2024-06-09,11035,Ranst,Ranst,Ranst,Ranst,Volt Europa,305966,5,Dutch,31,13707,373,0.2262,true,false,true,ibz_municipality_level
2024,2024-06-09,11035,Ranst,Ranst,Ranst,Ranst,PVDA,303048,8,Dutch,669,13707,373,4.8807,true,false,true,ibz_municipality_level
2024,2024-06-09,11035,Ranst,Ranst,Ranst,Ranst,Vooruit,305967,9,Dutch,1167,13707,373,8.5139,true,false,true,ibz_municipality_level
2024,2024-06-09,11035,Ranst,Ranst,Ranst,Ranst,N-VA,303352,10,Dutch,5259,13707,373,38.3673,true,false,true,ibz_municipality_level
2024,2024-06-09,11035,Ranst,Ranst,Ranst,Ranst,GROEN,303164,15,Dutch,898,13707,373,6.5514,true,false,true,ibz_municipality_level
2024,2024-06-09,11035,Ranst,Ranst,Ranst,Ranst,CD&V,303356,16,Dutch,1506,13707,373,10.9871,true,false,true,ibz_municipality_level
2024,2024-06-09,11035,Ranst,Ranst,Ranst,Ranst,Voor U,305968,17,Dutch,99,13707,373,0.7223,true,false,true,ibz_municipality_level
2024,2024-06-09,11035,Ranst,Ranst,Ranst,Ranst,DierAnimal,305916,19,Dutch,110,13707,373,0.8025,true,false,true,ibz_municipality_level
2024,2024-06-09,11035,Ranst,Ranst,Ranst,Ranst,Partij BLANCO,305969,20,Dutch,72,13707,373,0.5253,true,false,true,ibz_municipality_level
2024,2024-06-09,11035,Ranst,Ranst,Ranst,Ranst,BELG.UNIE-BUB,303439,21,Dutch,20,13707,373,0.1459,true,false,true,ibz_municipality_level
2024,2024-06-09,11037,Rumst,Rumst,Rumst,Rumst,VLAAMS BELANG,305802,1,Dutch,2379,10628,274,22.3843,true,false,true,ibz_municipality_level
2024,2024-06-09,11037,Rumst,Rumst,Rumst,Rumst,open vld,305803,3,Dutch,597,10628,274,5.6172,true,false,true,ibz_municipality_level
2024,2024-06-09,11037,Rumst,Rumst,Rumst,Rumst,Volt Europa,305966,5,Dutch,28,10628,274,0.2635,true,false,true,ibz_municipality_level
2024,2024-06-09,11037,Rumst,Rumst,Rumst,Rumst,PVDA,303048,8,Dutch,702,10628,274,6.6052,true,false,true,ibz_municipality_level
2024,2024-06-09,11037,Rumst,Rumst,Rumst,Rumst,Vooruit,305967,9,Dutch,1339,10628,274,12.5988,true,false,true,ibz_municipality_level
2024,2024-06-09,11037,Rumst,Rumst,Rumst,Rumst,N-VA,303352,10,Dutch,3530,10628,274,33.2142,true,false,true,ibz_municipality_level
2024,2024-06-09,11037,Rumst,Rumst,Rumst,Rumst,GROEN,303164,15,Dutch,578,10628,274,5.4385,true,false,true,ibz_municipality_level
2024,2024-06-09,11037,Rumst,Rumst,Rumst,Rumst,CD&V,303356,16,Dutch,1216,10628,274,11.4415,true,false,true,ibz_municipality_level
2024,2024-06-09,11037,Rumst,Rumst,Rumst,Rumst,Voor U,305968,17,Dutch,85,10628,274,0.7998,true,false,true,ibz_municipality_level
2024,2024-06-09,11037,Rumst,Rumst,Rumst,Rumst,DierAnimal,305916,19,Dutch,88,10628,274,0.828,true,false,true,ibz_municipality_level
2024,2024-06-09,11037,Rumst,Rumst,Rumst,Rumst,Partij BLANCO,305969,20,Dutch,71,10628,274,0.668,true,false,true,ibz_municipality_level
2024,2024-06-09,11037,Rumst,Rumst,Rumst,Rumst,BELG.UNIE-BUB,303439,21,Dutch,15,10628,274,0.1411,true,false,true,ibz_municipality_level
2024,2024-06-09,11038,Schelle,Schelle,Schelle,Schelle,VLAAMS BELANG,305802,1,Dutch,1515,5883,205,25.7522,true,false,true,ibz_municipality_level
2024,2024-06-09,11038,Schelle,Schelle,Schelle,Schelle,open vld,305803,3,Dutch,231,5883,205,3.9266,true,false,true,ibz_municipality_level
2024,2024-06-09,11038,Schelle,Schelle,Schelle,Schelle,Volt Europa,305966,5,Dutch,12,5883,205,0.204,true,false,true,ibz_municipality_level
2024,2024-06-09,11038,Schelle,Schelle,Schelle,Schelle,PVDA,303048,8,Dutch,455,5883,205,7.7341,true,false,true,ibz_municipality_level
2024,2024-06-09,11038,Schelle,Schelle,Schelle,Schelle,Vooruit,305967,9,Dutch,759,5883,205,12.9016,true,false,true,ibz_municipality_level
2024,2024-06-09,11038,Schelle,Schelle,Schelle,Schelle,N-VA,303352,10,Dutch,1845,5883,205,31.3616,true,false,true,ibz_municipality_level
2024,2024-06-09,11038,Schelle,Schelle,Schelle,Schelle,GROEN,303164,15,Dutch,356,5883,205,6.0513,true,false,true,ibz_municipality_level
2024,2024-06-09,11038,Schelle,Schelle,Schelle,Schelle,CD&V,303356,16,Dutch,612,5883,205,10.4029,true,false,true,ibz_municipality_level
2024,2024-06-09,11038,Schelle,Schelle,Schelle,Schelle,Voor U,305968,17,Dutch,33,5883,205,0.5609,true,false,true,ibz_municipality_level
