election_year,public_geography_id,municipality,label_french,label_dutch,label_german,valid_votes,blank_votes,list_vote_sum,party_list_count,vote_sum_reconciles,special_bucket,duplicate_nis_code,audit_status
2024,21013,Saint-Gilles,Saint-Gilles,Sint-Gillis,Saint-Gilles,15590,902,15590,17,true,false,false,bridge_safe
2024,21014,Saint-Josse-ten-Noode,Saint-Josse-ten-Noode,Sint-Joost-ten-Node,Saint-Josse-ten-Noode,8275,821,8275,17,true,false,false,bridge_safe
2024,21015,Schaerbeek,Schaerbeek,Schaarbeek,Schaerbeek,46617,3475,46617,17,true,false,false,bridge_safe
2024,21016,Uccle,Uccle,Ukkel,Uccle,37733,1598,37733,17,true,false,false,bridge_safe
2024,21017,Watermael-Boitsfort,Watermael-Boitsfort,Watermaal-Bosvoorde,Watermael-Boitsfort,13462,563,13462,17,true,false,false,bridge_safe
2024,21018,Woluwe-Saint-Lambert,Woluwe-Saint-Lambert,Sint-Lambrechts-Woluwe,Woluwe-Saint-Lambert,24048,1201,24048,17,true,false,false,bridge_safe
2024,21019,Woluwe-Saint-Pierre,Woluwe-Saint-Pierre,Sint-Pieters-Woluwe,Woluwe-Saint-Pierre,18162,615,18162,17,true,false,false,bridge_safe
2024,23098,Drogenbos,Drogenbos,Drogenbos,Drogenbos,1921,0,2511,28,false,false,false,blocked_vote_sum_mismatch
2024,23099,Kraainem,Kraainem,Kraainem,Kraainem,4562,0,6281,28,false,false,false,blocked_vote_sum_mismatch
2024,23100,Linkebeek,Linkebeek,Linkebeek,Linkebeek,2153,0,2713,27,false,false,false,blocked_vote_sum_mismatch
2024,23101,Rode-Saint-Genese,Rhode-Saint-Genèse,Sint-Genesius-Rode,Rhode-Saint-Genèse,6407,0,10048,28,false,false,false,blocked_vote_sum_mismatch
2024,23102,Wemmel,Wemmel,Wemmel,Wemmel,4960,0,9242,28,false,false,false,blocked_vote_sum_mismatch
2024,23103,Wezembeek-Oppem,Wezembeek-Oppem,Wezembeek-Oppem,Wezembeek-Oppem,5116,0,7508,28,false,false,false,blocked_vote_sum_mismatch
2024,21998,Bruxelles (E5),Bruxelles (E5),Brussel (E5),Bruxelles (E5),15548,902,15548,17,true,true,false,blocked_special_bucket
2024,23002,Asse,Asse,Asse,Asse,19767,1155,19767,11,true,false,false,bridge_safe
2024,23003,Beersel,Beersel,Beersel,Beersel,15430,853,15430,11,true,false,false,bridge_safe
2024,23009,Bever,Biévène,Bever,Biévène,1570,73,1570,11,true,false,false,bridge_safe
2024,23016,Dilbeek,Dilbeek,Dilbeek,Dilbeek,26242,1372,26242,11,true,false,false,bridge_safe
2024,23023,Galmaarden,Gammerages,Galmaarden,Galmaarden,6259,299,6259,11,true,false,false,bridge_safe
2024,23024,Gooik,Gooik,Gooik,Gooik,6562,274,6562,11,true,false,false,bridge_safe
2024,23025,Grimbergen,Grimbergen,Grimbergen,Grimbergen,22622,1226,22622,11,true,false,false,bridge_safe
2024,23027,Halle,Hal,Halle,Halle,25545,1381,25545,11,true,false,false,bridge_safe
2024,23032,Herne,Herne,Herne,Herne,4675,246,4675,11,true,false,false,bridge_safe
2024,23033,Hoeilaart,Hoeilaart,Hoeilaart,Hoeilaart,6611,255,6611,11,true,false,false,bridge_safe
2024,23038,Kampenhout,Kampenhout,Kampenhout,Kampenhout,8410,335,8410,11,true,false,false,bridge_safe
2024,23039,Kapelle-op-den-Bos,Kapelle-op-den-Bos,Kapelle-op-den-Bos,Kapelle-op-den-Bos,6642,575,6642,11,true,false,false,bridge_safe
2024,23044,Liedekerke,Liedekerke,Liedekerke,Liedekerke,8929,413,8929,11,true,false,false,bridge_safe
