election_year,election_date,bridge_geography_year,public_geography_id,municipality,source_municipality_count,source_geography_ids,merge_group,bridge_status,party,party_ids,votes,valid_votes,blank_votes,share,source_scope,method_note
2024,2024-06-09,2025,11008,Brasschaat,1,11008,identity_2024_to_2025,identity_2024_to_2025,BELG.UNIE-BUB,303439,31,25114,663,0.1234,ibz_2024_bridge_safe_rows_forward_to_statbel_2025_geography,2024 bridge-safe election rows aggregated forward to verified Statbel 2025 municipality targets; E5 special buckets and six facility/rand vote-sum mismatch rows remain excluded.
2024,2024-06-09,2025,11008,Brasschaat,1,11008,identity_2024_to_2025,identity_2024_to_2025,CD&V,303356,2303,25114,663,9.1702,ibz_2024_bridge_safe_rows_forward_to_statbel_2025_geography,2024 bridge-safe election rows aggregated forward to verified Statbel 2025 municipality targets; E5 special buckets and six facility/rand vote-sum mismatch rows remain excluded.
2024,2024-06-09,2025,11008,Brasschaat,1,11008,identity_2024_to_2025,identity_2024_to_2025,DierAnimal,305916,247,25114,663,0.9835,ibz_2024_bridge_safe_rows_forward_to_statbel_2025_geography,2024 bridge-safe election rows aggregated forward to verified Statbel 2025 municipality targets; E5 special buckets and six facility/rand vote-sum mismatch rows remain excluded.
2024,2024-06-09,2025,11008,Brasschaat,1,11008,identity_2024_to_2025,identity_2024_to_2025,GROEN,303164,1478,25114,663,5.8852,ibz_2024_bridge_safe_rows_forward_to_statbel_2025_geography,2024 bridge-safe election rows aggregated forward to verified Statbel 2025 municipality targets; E5 special buckets and six facility/rand vote-sum mismatch rows remain excluded.
2024,2024-06-09,2025,11008,Brasschaat,1,11008,identity_2024_to_2025,identity_2024_to_2025,N-VA,303352,10411,25114,663,41.455,ibz_2024_bridge_safe_rows_forward_to_statbel_2025_geography,2024 bridge-safe election rows aggregated forward to verified Statbel 2025 municipality targets; E5 special buckets and six facility/rand vote-sum mismatch rows remain excluded.
2024,2024-06-09,2025,11008,Brasschaat,1,11008,identity_2024_to_2025,identity_2024_to_2025,PVDA,303048,1473,25114,663,5.8653,ibz_2024_bridge_safe_rows_forward_to_statbel_2025_geography,2024 bridge-safe election rows aggregated forward to verified Statbel 2025 municipality targets; E5 special buckets and six facility/rand vote-sum mismatch rows remain excluded.
2024,2024-06-09,2025,11008,Brasschaat,1,11008,identity_2024_to_2025,identity_2024_to_2025,Partij BLANCO,305969,128,25114,663,0.5097,ibz_2024_bridge_safe_rows_forward_to_statbel_2025_geography,2024 bridge-safe election rows aggregated forward to verified Statbel 2025 municipality targets; E5 special buckets and six facility/rand vote-sum mismatch rows remain excluded.
2024,2024-06-09,2025,11008,Brasschaat,1,11008,identity_2024_to_2025,identity_2024_to_2025,VLAAMS BELANG,305802,5166,25114,663,20.5702,ibz_2024_bridge_safe_rows_forward_to_statbel_2025_geography,2024 bridge-safe election rows aggregated forward to verified Statbel 2025 municipality targets; E5 special buckets and six facility/rand vote-sum mismatch rows remain excluded.
2024,2024-06-09,2025,11008,Brasschaat,1,11008,identity_2024_to_2025,identity_2024_to_2025,Volt Europa,305966,79,25114,663,0.3146,ibz_2024_bridge_safe_rows_forward_to_statbel_2025_geography,2024 bridge-safe election rows aggregated forward to verified Statbel 2025 municipality targets; E5 special buckets and six facility/rand vote-sum mismatch rows remain excluded.
2024,2024-06-09,2025,11008,Brasschaat,1,11008,identity_2024_to_2025,identity_2024_to_2025,Voor U,305968,144,25114,663,0.5734,ibz_2024_bridge_safe_rows_forward_to_statbel_2025_geography,2024 bridge-safe election rows aggregated forward to verified Statbel 2025 municipality targets; E5 special buckets and six facility/rand vote-sum mismatch rows remain excluded.
2024,2024-06-09,2025,11008,Brasschaat,1,11008,identity_2024_to_2025,identity_2024_to_2025,Vooruit,305967,2165,25114,663,8.6207,ibz_2024_bridge_safe_rows_forward_to_statbel_2025_geography,2024 bridge-safe election rows aggregated forward to verified Statbel 2025 municipality targets; E5 special buckets and six facility/rand vote-sum mismatch rows remain excluded.
2024,2024-06-09,2025,11008,Brasschaat,1,11008,identity_2024_to_2025,identity_2024_to_2025,open vld,305803,1489,25114,663,5.929,ibz_2024_bridge_safe_rows_forward_to_statbel_2025_geography,2024 bridge-safe election rows aggregated forward to verified Statbel 2025 municipality targets; E5 special buckets and six facility/rand vote-sum mismatch rows remain excluded.
2024,2024-06-09,2025,11009,Brecht,1,11009,identity_2024_to_2025,identity_2024_to_2025,BELG.UNIE-BUB,303439,19,20188,676,0.0941,ibz_2024_bridge_safe_rows_forward_to_statbel_2025_geography,2024 bridge-safe election rows aggregated forward to verified Statbel 2025 municipality targets; E5 special buckets and six facility/rand vote-sum mismatch rows remain excluded.
2024,2024-06-09,2025,11009,Brecht,1,11009,identity_2024_to_2025,identity_2024_to_2025,CD&V,303356,2284,20188,676,11.3137,ibz_2024_bridge_safe_rows_forward_to_statbel_2025_geography,2024 bridge-safe election rows aggregated forward to verified Statbel 2025 municipality targets; E5 special buckets and six facility/rand vote-sum mismatch rows remain excluded.
2024,2024-06-09,2025,11009,Brecht,1,11009,identity_2024_to_2025,identity_2024_to_2025,DierAnimal,305916,189,20188,676,0.9362,ibz_2024_bridge_safe_rows_forward_to_statbel_2025_geography,2024 bridge-safe election rows aggregated forward to verified Statbel 2025 municipality targets; E5 special buckets and six facility/rand vote-sum mismatch rows remain excluded.
2024,2024-06-09,2025,11009,Brecht,1,11009,identity_2024_to_2025,identity_2024_to_2025,GROEN,303164,786,20188,676,3.8934,ibz_2024_bridge_safe_rows_forward_to_statbel_2025_geography,2024 bridge-safe election rows aggregated forward to verified Statbel 2025 municipality targets; E5 special buckets and six facility/rand vote-sum mismatch rows remain excluded.
2024,2024-06-09,2025,11009,Brecht,1,11009,identity_2024_to_2025,identity_2024_to_2025,N-VA,303352,7249,20188,676,35.9075,ibz_2024_bridge_safe_rows_forward_to_statbel_2025_geography,2024 bridge-safe election rows aggregated forward to verified Statbel 2025 municipality targets; E5 special buckets and six facility/rand vote-sum mismatch rows remain excluded.
2024,2024-06-09,2025,11009,Brecht,1,11009,identity_2024_to_2025,identity_2024_to_2025,PVDA,303048,828,20188,676,4.1014,ibz_2024_bridge_safe_rows_forward_to_statbel_2025_geography,2024 bridge-safe election rows aggregated forward to verified Statbel 2025 municipality targets; E5 special buckets and six facility/rand vote-sum mismatch rows remain excluded.
2024,2024-06-09,2025,11009,Brecht,1,11009,identity_2024_to_2025,identity_2024_to_2025,Partij BLANCO,305969,96,20188,676,0.4755,ibz_2024_bridge_safe_rows_forward_to_statbel_2025_geography,2024 bridge-safe election rows aggregated forward to verified Statbel 2025 municipality targets; E5 special buckets and six facility/rand vote-sum mismatch rows remain excluded.
2024,2024-06-09,2025,11009,Brecht,1,11009,identity_2024_to_2025,identity_2024_to_2025,VLAAMS BELANG,305802,5971,20188,676,29.577,ibz_2024_bridge_safe_rows_forward_to_statbel_2025_geography,2024 bridge-safe election rows aggregated forward to verified Statbel 2025 municipality targets; E5 special buckets and six facility/rand vote-sum mismatch rows remain excluded.
2024,2024-06-09,2025,11009,Brecht,1,11009,identity_2024_to_2025,identity_2024_to_2025,Volt Europa,305966,48,20188,676,0.2378,ibz_2024_bridge_safe_rows_forward_to_statbel_2025_geography,2024 bridge-safe election rows aggregated forward to verified Statbel 2025 municipality targets; E5 special buckets and six facility/rand vote-sum mismatch rows remain excluded.
2024,2024-06-09,2025,11009,Brecht,1,11009,identity_2024_to_2025,identity_2024_to_2025,Voor U,305968,202,20188,676,1.0006,ibz_2024_bridge_safe_rows_forward_to_statbel_2025_geography,2024 bridge-safe election rows aggregated forward to verified Statbel 2025 municipality targets; E5 special buckets and six facility/rand vote-sum mismatch rows remain excluded.
2024,2024-06-09,2025,11009,Brecht,1,11009,identity_2024_to_2025,identity_2024_to_2025,Vooruit,305967,1494,20188,676,7.4004,ibz_2024_bridge_safe_rows_forward_to_statbel_2025_geography,2024 bridge-safe election rows aggregated forward to verified Statbel 2025 municipality targets; E5 special buckets and six facility/rand vote-sum mismatch rows remain excluded.
